clean_NNAJ_actors|Filename|Year|categoria
Corporación|AT N° 017-2020 MET-Cabuyaro, Puerto Gaitán y Puerto López.pdf|2020|
Organización Popular Campesina Del Alto Atrato|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
Comunidad Negra De La Toma Paredes|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
Consejos Comunitarios Y Resguardos|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
Comité Paro Cívico Por La Dignidad Del Chocó|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
Ejército De Liberación Nacional|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|Guerrillas
Ejército De Liberación Nacional|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|Guerrillas
Reconciliación|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
At 012|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
Derecho Internacional Humanitario Desplazamientos Forzados Masivos E Individuales Tanto En Zonas Rurales|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
Dirección De Pueblos Indígenas|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
Agencia Presidencial Para La Prosperidad Social|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
Corporación Autónoma Regional Para El Desarrollo Sostenible Del Chocó|AT N° 021-20 CHO- Rio Quito Cértegui y Cantón..pdf|2020|
Paisas|AT N° 022-2020 Bogotá DC.pdf|2020|Pequeños Grupos Ilegales
Paisas|AT N° 022-2020 Bogotá DC.pdf|2020|Pequeños Grupos Ilegales
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|Guerrillas
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|Guerrillas
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|Guerrillas
Ejército De Liberación Nacional|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|Guerrillas
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|Guerrillas
Ejército De Liberación Nacional|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|Guerrillas
Ejército De Liberación Nacional|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|Guerrillas
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|Guerrillas
Instituto Técnico Agropecuario Antonio Nariño|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|
Ita|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|
Ipm|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|
U´Wa|AT N° 023-2020 CAS-La Salina y Sácama.pdf|2020|
Grupo Armado Ilegal|AT N° 024-2020 VAU-Papunaua.pdf|2020|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 024-2020 VAU-Papunaua.pdf|2020|Guerrillas
Frente Primero|AT N° 024-2020 VAU-Papunaua.pdf|2020|Disidensias FARC
Calamar|AT N° 024-2020 VAU-Papunaua.pdf|2020|
Frente Primero|AT N° 024-2020 VAU-Papunaua.pdf|2020|Disidensias FARC
Grupo|AT N° 025-2020 BOL.pdf|2020|
Grupos De Delincuencia Organizada|AT N° 025-2020 BOL.pdf|2020|
Grupos De Delincuencia Organizada|AT N° 025-2020 BOL.pdf|2020|
Ejército De Liberación Nacional|AT N° 025-2020 BOL.pdf|2020|Guerrillas
Sjr|AT N° 025-2020 BOL.pdf|2020|
Ejército De Liberación Nacional|AT N° 025-2020 BOL.pdf|2020|Guerrillas
Ejército De Liberación Nacional|AT N° 025-2020 BOL.pdf|2020|Guerrillas
Ejército De Liberación Nacional|AT N° 025-2020 BOL.pdf|2020|Guerrillas
Ese|AT N° 025-2020 BOL.pdf|2020|
Grupo Armado Ilegal|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|Guerrillas
Zrc|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Reincorporación|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Venezolanos|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|Guerrillas
Bloque Meta|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Proceso De Reincorporación|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Personas|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Agencia De Renovación Del Territorio|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Comisión Intersectorial Para La Prevención Y Utilización|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Corporación Para El Desarrollo Sostenible Del Área De Manejo Especial De La Macarena|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Comisión De Búsqueda De Personas Desaparecidas|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Superintendencia De Notariado|AT N° 026-2020 MET-Mesetas y Uribe.pdf|2020|
Grupo Armado Ilegal|AT N° 028-2020 CAQ-Belén de los Andaquíes.pdf|2020|
Frente 3|AT N° 028-2020 CAQ-Belén de los Andaquíes.pdf|2020|
Frente 3|AT N° 028-2020 CAQ-Belén de los Andaquíes.pdf|2020|
Asociación De Cabildos Indígenas Nasa|AT N° 029-2020 CAU-Paez HUI-Íquira.pdf|2020|
Consejo Regional Indígena Del Huila|AT N° 029-2020 CAU-Paez HUI-Íquira.pdf|2020|
Agencia Para La Renovación Del Territorio|AT N° 029-2020 CAU-Paez HUI-Íquira.pdf|2020|
Ejército De Liberación Nacional|AT N° 030-2020 CHO-Bajo Baudó.pdf|2020|Guerrillas
Frente De Guerra Occidental|AT N° 030-2020 CHO-Bajo Baudó.pdf|2020|Disidensias FARC
Clan Del Golfo|AT N° 031-2020 MET-San Martín.pdf|2020|Nuevos Paramilitares (Narco-Para)
Clan Del Golfo|AT N° 031-2020 MET-San Martín.pdf|2020|Nuevos Paramilitares (Narco-Para)
Clan Del Golfo|AT N° 031-2020 MET-San Martín.pdf|2020|Nuevos Paramilitares (Narco-Para)
Clan|AT N° 031-2020 MET-San Martín.pdf|2020|Nuevos Paramilitares (Narco-Para)
Águilas Negras|AT N° 032-2020 ANT-Medellín.pdf|2020|Nuevos Paramilitares (Narco-Para)
Terraza|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Terraza|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Triana|AT N° 032-2020 ANT-Medellín.pdf|2020|
Grupos Armados No Estatales|AT N° 032-2020 ANT-Medellín.pdf|2020|
Uso Y|AT N° 032-2020 ANT-Medellín.pdf|2020|
Bloque Popular Miliciano Occidente|AT N° 032-2020 ANT-Medellín.pdf|2020|
Corazón|AT N° 032-2020 ANT-Medellín.pdf|2020|
Comuna 12|AT N° 032-2020 ANT-Medellín.pdf|2020|
Comuna 12|AT N° 032-2020 ANT-Medellín.pdf|2020|
Mención32 Grupos|AT N° 032-2020 ANT-Medellín.pdf|2020|
Comuna 13 – Nombre|AT N° 032-2020 ANT-Medellín.pdf|2020|
Sisc|AT N° 032-2020 ANT-Medellín.pdf|2020|
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Comuna 7|AT N° 032-2020 ANT-Medellín.pdf|2020|
Cruz Roja|AT N° 032-2020 ANT-Medellín.pdf|2020|
Secretaría De La Juventud|AT N° 032-2020 ANT-Medellín.pdf|2020|
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Oficina Del Doce|AT N° 032-2020 ANT-Medellín.pdf|2020|
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Medellín|AT N° 032-2020 ANT-Medellín.pdf|2020|
Autodefensas Unidas De Colombia|AT N° 032-2020 ANT-Medellín.pdf|2020|Paramilitares
Consejo De Seguridad De Onu|AT N° 032-2020 ANT-Medellín.pdf|2020|
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Grupos Armados De Crimen Organizado|AT N° 032-2020 ANT-Medellín.pdf|2020|Pequeños Grupos Ilegales
Caivas|AT N° 032-2020 ANT-Medellín.pdf|2020|
Sisc|AT N° 032-2020 ANT-Medellín.pdf|2020|
Bloque Universidad De Antioquia|AT N° 032-2020 ANT-Medellín.pdf|2020|
Universidad De Antioquia|AT N° 032-2020 ANT-Medellín.pdf|2020|
Ibid Nombre|AT N° 032-2020 ANT-Medellín.pdf|2020|
Medellín Cómo Vamos|AT N° 032-2020 ANT-Medellín.pdf|2020|
Clubes Juveniles|AT N° 032-2020 ANT-Medellín.pdf|2020|
Jalisco Nueva Generación|AT N° 034-2020 NSANT-Ocaña.pdf|2020|
Convención|AT N° 034-2020 NSANT-Ocaña.pdf|2020|
Universidad Francisco De Paula Santander|AT N° 034-2020 NSANT-Ocaña.pdf|2020|
Universidad Nacional Abierta|AT N° 034-2020 NSANT-Ocaña.pdf|2020|
Distancia Unad|AT N° 034-2020 NSANT-Ocaña.pdf|2020|
Universidad Del Caribe|AT N° 034-2020 NSANT-Ocaña.pdf|2020|
Universidad De Pamplona|AT N° 034-2020 NSANT-Ocaña.pdf|2020|
Universidad Santo Tomás|AT N° 034-2020 NSANT-Ocaña.pdf|2020|
Yukpa|AT N° 035-2020 NSANT-Cúcuta, Puerto Santander y Villa del Rosario.pdf|2020|
Ejército De Liberación Nacional|AT N° 035-2020 NSANT-Cúcuta, Puerto Santander y Villa del Rosario.pdf|2020|Guerrillas
Venecos|AT N° 035-2020 NSANT-Cúcuta, Puerto Santander y Villa del Rosario.pdf|2020|
Águilas Negras|AT N° 037-2020 ATL-Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2020|Nuevos Paramilitares (Narco-Para)
Por Fin Me Quejo|AT N° 037-2020 ATL-Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2020|
Sal Si Puedes|AT N° 037-2020 ATL-Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2020|
Yukpa|AT N° 037-2020 ATL-Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2020|
Instituto De Medicina Legal|AT N° 037-2020 ATL-Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2020|
Chirretes|AT N° 037-2020 ATL-Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2020|
Unidad De Victimas Migración Colombia Servicio Nacional De Aprendizaje Presidencia De La|AT N° 037-2020 ATL-Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2020|
Dirección De Pueblos Indígenas|AT N° 037-2020 ATL-Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2020|
Rastrojos|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|Nuevos Paramilitares (Narco-Para)
Paisas|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|Pequeños Grupos Ilegales
Paisas|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|Pequeños Grupos Ilegales
Paisas|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|Pequeños Grupos Ilegales
Águilas Negras|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|Nuevos Paramilitares (Narco-Para)
Orientaciones Sexuales|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Orientaciones Sexuales|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Per|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Águilas Negras –Bloque Capital Comandos Urbanos De Los Rastrojos|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Paisas|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|Pequeños Grupos Ilegales
Bloque Centauros|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|Paramilitares
Autodefensas Campesinas Del Casanare|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Asociación Na|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Afrodes|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Fundación Paz|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Reconciliación|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Vale|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Asociación Nacional De Afrocolombianos Desplazados|AT N° 039-2020 CUN-Sibate y Soacha.pdf|2020|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 040-2020 CAU-Caldono.pdf|2020|Guerrillas
Cordillera|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|Pequeños Grupos Ilegales
Cordillera|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|Pequeños Grupos Ilegales
Comuna Ferrocarril|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Comuna Francisco De Paula Santander|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Comuna El Cafetero|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Comuna Fundad|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Ños|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Actores Armados No Estatales|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Grupos Armados De Delincuencia Organizada|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Ot Ros|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Exterior39|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Actores Armados|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Vale|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Media Vocacional|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Gobier No Nacional|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Acción Del Departamento Administrativo Para La Prosperidad Social|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Eje Cafetero|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Comercial|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Col|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Organización De Las Naciones Unidas Contra La Droga Y El Delito|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Co N|AT N° 041-2020 QUI-Armenia, CAL-Manizales y RIS-Pereira.pdf|2020|
Grupo Armado Ilegal|AT N° 042-2020 BOY-Chiscas, Chita, El Cocuy, El Espino, Güican, Jericó, Panqueba, Socha y Socotá.pdf|2020|
Comunidad Indígena Uwa Miembros|AT N° 042-2020 BOY-Chiscas, Chita, El Cocuy, El Espino, Güican, Jericó, Panqueba, Socha y Socotá.pdf|2020|
Honorable Corte Constitucional|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Honorable Corte Constitucional|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Comité Técnico Educativo|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Instituciones Educativas|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Comité Municipal De Prevención Y Control De Drogas|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Jurisdicción Especial De Paz|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Dirección Para La Democracia Participación Ciudadana|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Gobernación Del Departamento Del Huila|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Fiscalía Seccional De L Huila|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Procuraduría Regiona L Del Huila|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Subdirección Especializada De Seguridad Y Protección|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Agencia Para La Renovación Del Territorio|AT N° 043-2020 HUI-Algeciras.pdf|2020|
Institución Educativa De Embera Karmata Rúa|AT N° 044-2020 ANT-Andes, Betania, Ciudad Bolívar, Hispania, Jardín y Salgar.pdf|2020|
A T|AT N° 044-2020 ANT-Andes, Betania, Ciudad Bolívar, Hispania, Jardín y Salgar.pdf|2020|
Cz Suroesteniños Niñas|AT N° 044-2020 ANT-Andes, Betania, Ciudad Bolívar, Hispania, Jardín y Salgar.pdf|2020|
Ue|AT N° 044-2020 ANT-Andes, Betania, Ciudad Bolívar, Hispania, Jardín y Salgar.pdf|2020|
Grupo Armado Ilegal|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|
Grupo Armado Ilegal|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|
Negras El Pando|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|
Negras Intermedias|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|
Curumaná Las Acacias La Unión|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|
Areno Sa|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|
Bvpa|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|Nuevos Paramilitares (Narco-Para)
Bvpa|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|Nuevos Paramilitares (Narco-Para)
Ejército De Liberación Nacional|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|Guerrillas
Bvpa|AT N° 045-2020 ANT-Cáceres, Caucasia, El Bagre, Nechí, Tarazá y Zaragoza.pdf|2020|Nuevos Paramilitares (Narco-Para)
Ponen|AT N° 047-2020 CAU-Argelia, Balboa y El Tambo.pdf|2020|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 047-2020 CAU-Argelia, Balboa y El Tambo.pdf|2020|Guerrillas
Unida D Nacional De Protección|AT N° 047-2020 CAU-Argelia, Balboa y El Tambo.pdf|2020|
Agencia Para La Reincorpora Ción|AT N° 047-2020 CAU-Argelia, Balboa y El Tambo.pdf|2020|
Personerías Balboa|AT N° 047-2020 CAU-Argelia, Balboa y El Tambo.pdf|2020|
Constru|AT N° 050-2020 NSANT-Tibú_of.pdf|2020|Pequeños Grupos Ilegales
Tef|AT N° 050-2020 NSANT-Tibú_of.pdf|2020|
Pdet|AT N° 050-2020 NSANT-Tibú_of.pdf|2020|
Tef|AT N° 050-2020 NSANT-Tibú_of.pdf|2020|
Valga|AT N° 050-2020 NSANT-Tibú_of.pdf|2020|
Unidad|AT N° 050-2020 NSANT-Tibú_of.pdf|2020|
Oficina Del Alto|AT N° 050-2020 NSANT-Tibú_of.pdf|2020|
Agencia Para La Reincorporación Y Normalización|AT N° 050-2020 NSANT-Tibú_of.pdf|2020|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 051-2020 ANT-Apartadó of.pdf|2020|Guerrillas
Alerta Temprana De Inminencia|AT N° 051-2020 ANT-Apartadó of.pdf|2020|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 051-2020 ANT-Apartadó of.pdf|2020|Guerrillas
Munición Sin Explotar|AT N° 052-2020 ANT-Sabanalarga of.pdf|2020|
Adolescentes A Actividades Relacionadas|AT N° 052-2020 ANT-Sabanalarga of.pdf|2020|
Frente 36|AT N° 052-2020 ANT-Sabanalarga of.pdf|2020|
Frente 36|AT N° 052-2020 ANT-Sabanalarga of.pdf|2020|
Inspección Horizonte Horizonte|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Solita|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Osig D|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Señora Nerie|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Cuerpo Colegiado|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Comisi Ón Municipal De Planeación Participativa|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Rie Sgo|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Unidad Nacional De Prot Ección Nombre|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Equipos De Acció N Inmediata|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Frente 1 º De Las Farc|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Honorable Corte Constitucional|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Oce|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Gobernación Del Caq|AT N° 001-2021 CAQ-Curillo, Solita y San José del Fragua CAU-Piamonte PUT-Puerto Guzmán of.pdf|2021|
Bandas Criminales|AT N° 003-2021 VAL-Buenaventura of.pdf|2021|Nuevos Paramilitares (Narco-Para)
Ejército De Liberación Nacional|AT N° 003-2021 VAL-Buenaventura of.pdf|2021|Guerrillas
Facciones Disidentes De Las Ex Farc|AT N° 004-2021 NSANT-Convención, El Carmen y Teorama of.pdf|2021|Disidensias FARC
Nna J|AT N° 004-2021 NSANT-Convención, El Carmen y Teorama of.pdf|2021|
Agencia De Renovación Del T|AT N° 004-2021 NSANT-Convención, El Carmen y Teorama of.pdf|2021|
Ejército De Liberación Nacional|AT N° 005-2021 VIC-Puerto Carreño of.pdf|2021|Guerrillas
Plv|AT N° 005-2021 VIC-Puerto Carreño of.pdf|2021|
Grupo Armado Ilegal|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Grupo Armado Ilegal|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Grupo Armado Ilegal|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Clan Del Golfo|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|Nuevos Paramilitares (Narco-Para)
Clan Del Golfo|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|Nuevos Paramilitares (Narco-Para)
Rastrojos|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|Nuevos Paramilitares (Narco-Para)
Pueblo Nuevo|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Cinco Negras La Llorona Loca  Consejo Comunitario De Comunidades Negras|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Consejo Comunitario De Comunidades Negras De Mandinguilla|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Consejo Comunitario De Comunidades Negras De|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Consejo Comunitario De Comunidades Negras De La Mata  Consej|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Confinamiento|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Rehenes|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Clan|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|Nuevos Paramilitares (Narco-Para)
Hp|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Hp|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Hp|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Dane|AT N° 012-2021 CES-Astrea, Chimichagua, Tamalameque MAG-El Banco, Guamal, San Sebastián of.pdf|2021|
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 013-2021 PUT- Orito, Puerto Asís, Puerto Caicedo, San Miguel y Valle de Guamuez of.pdf|2021|Guerrillas
Juventud Y Adulto Mayor|AT N° 013-2021 PUT- Orito, Puerto Asís, Puerto Caicedo, San Miguel y Valle de Guamuez of.pdf|2021|
Secretar Ía De Educación Departamental|AT N° 013-2021 PUT- Orito, Puerto Asís, Puerto Caicedo, San Miguel y Valle de Guamuez of.pdf|2021|
Grupo Armado Ilegal|AT N° 016-2021 ANT-Vigia del Fuerte CHO-Atrato Medio y Bojayá_ of.pdf|2021|
Boca|AT N° 016-2021 ANT-Vigia del Fuerte CHO-Atrato Medio y Bojayá_ of.pdf|2021|
Asociación Integral Del Atrato Cocomacia|AT N° 016-2021 ANT-Vigia del Fuerte CHO-Atrato Medio y Bojayá_ of.pdf|2021|
